crashID,firstCrashType,crashType,cost,numUnits
71ac905c1f7a7ae7fe1a5fe439cc6aedf562ff38ba001311465386c05de50a9bf5c1107a461ceaa16e7064f46a219d92b4bcc74e6a3a2e24286d53435f972616,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,3192,2
0ff60f97696650178c4fe95076020e583e719c0449cb5e69a7fd33ea49ce55009f43b8e7522885533887d43b1aba5931938ecd0a8309b8fec7239c2d71a16030,ANGLE,INJURY AND / OR TOW DUE TO CRASH,1380,2
50827ff3778582c861d4ce0e182b5d9872f41fe0bbb543ffc9645572b121e1406768e6a69579587fbc6bc071bb00758ce748754f54875c1630079d824f6c9430,REAR END,NO INJURY / DRIVE AWAY,2361,2
d37ef5ea25801434ee861eb692fd418f5604672452d270ac0330aa9f709661c4ea4a9dc289f75012e6854eee5ee411204f20ffaa1c81015d9de6203edc6b004b,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,2800,2
3e648c164036233cb5ecf3ff60865a7b3202b86b102483ba9b3c2bcfd2b4408dd61483701d4294ad9fa7ac50eeb8775b9fc72c452dba0aefd20398aabd2bae97,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,1811,2
8e5671e752a18f8060c6f6d433cf69eca4ed69f67cf073012145c8b245d0afaaafe925883d92ddbfe7a8c384e7036c7075ea044a4b3e8ebe5371c290ecb6a52e,REAR END,INJURY AND / OR TOW DUE TO CRASH,1990,2
1848075136317b28bd816e97d93296bbbe2971a76eb17606887279012137799fa4eeda8b8addba3492e01c6b4cbc65c432e7c84dabb206aa6184fb738b0848aa,OTHER OBJECT,NO INJURY / DRIVE AWAY,3775,1
e0426ec82e270bf8290d27bc7ebe37fee39312d3e8dd9bc28a6c92b6a4bdf0c1368435d53d1f699b851463cf610cf74b15ae602c22eaa9c2dda0e83bb743de45,REAR END,NO INJURY / DRIVE AWAY,2702,2
6458f9797efcf163d22ea822bed052d2d007720183e27b4c2a2bfcbe06ea389ac9673aa5196391d012a430866bb0b78f57c6a8be6c984d02d9a207e2c4112819,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,823,2
da2101970abd397dacfebe9c850086845e57b8dd88733fc4c2a9a4f898feca241802064e099c74cf9c9f98bf821a918d332ff10de49d0dd6d075825955d79690,REAR END,NO INJURY / DRIVE AWAY,4359,2
e5809966e7d0dceb31bacdf38c639b8a7e0f596f460960bfb375379602a246d41c3a6998ae6ed50eeb57b7bb8e39dd76e19a3f45528b8adca6d3edf4f74bfddb,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,1191,2
25a5e6e128c5074a0b9908e97bbecf3cf0e9aed0a9e4eeeef4428a5768a2bbf3869637ed4175df830599b05c76ce98786cac9442ba97e795dcea08ded44cfb47,SIDESWIPE SAME DIRECTION,INJURY AND / OR TOW DUE TO CRASH,2566,2
00adfdbada1ea2614b4c9f9e733e5e727085f9eebc87e47ad4abe258c8a105481f8569bda2d5b58dbfa28be1601fd2ddb5eae8ff173cfbff29778d0513768b46,ANGLE,INJURY AND / OR TOW DUE TO CRASH,3559,3
269f48a410ee653298316c141118d97d08d29e8a72155c35ed80261e0a5c759fd18fcd4802612dd539dc12b55e189d4f73fb143aa73792dfa81d3558d3d73c1a,ANGLE,NO INJURY / DRIVE AWAY,849,2
dac1021aaba08704ef792ca99dbcd18eaf38f8bdc4b7d813416c7744c7d8e9ab64ad04a19a7d2637e715fda31a0166b976e7f27531054d83b45cfc2584076afa,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,4653,2
b4f903488d44412faeecab8c1192a2c6e5ebb3810789e3437a89240714bad9ec162961d19f0da12a91f2a3c14b793d59651859b58075baf8b2521595b1cd3e82,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,283,2
63515521bec2c1690fff96684efe4779de2eb23fe86c319e774efe0ec93e4641fd90debc4cdd0318c995dadad919b46b31c25503f4f224974db8e86701a8e696,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,4165,2
ee9fb365e282dc5f3bdb273dac85f476b95e937f315c25ec34a7ed862c18c0e45b0fe029dc6bb0e0ce873fb9a2c998a7e41f0cb0ddcb118d7bcf6d31ce801b27,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,1901,2
007c4a9836a67554eeb98503d0ef89cf0fe86b01e0a0001dc0f68975d1d6b6e80b281334a36f88b0c5fe6af1123bf206567de41178f53f28f549e57dd5b5707b,REAR TO FRONT,NO INJURY / DRIVE AWAY,4273,2
a105af8a166377571db5277ef0a4062ac34d9d2ba78ac4fe645871143556f66568ed95efbd570c28ebfb6160ea0551f707b03c0d0b0d015f5475d90c67a5342c,ANGLE,NO INJURY / DRIVE AWAY,1464,2
0e653a0e4f1463726ca026b8109065967bc10aec3a234aa77a5a2c8e1bff84ac9222a630a13a65cdab0d64d41e69fc2652947d586c8bb63e549c724fb206262d,REAR TO SIDE,NO INJURY / DRIVE AWAY,4718,2
ef7ff96ae13b999a28bbb154fef17ecf97138f2444920f0877a52225bba0220c2945356279c8af5048d3963ceb4c26689e9498a940a526dc2422b3b7db052857,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,2933,2
839ba4bfeb1079e0a867341e84ef575733ddc0325e2a4f51f18a4510030a2786ddaceb9fc68a6f1d6bdb0047bb1fe8210d9e0a044f8bf1601365799abd062760,TURNING,INJURY AND / OR TOW DUE TO CRASH,2312,2
46d8aafddd4cc70f2607b364cf2995134a72298b54eb476a0f0fb9829f54c691813d63d0040a8ef80a114273b2e012d086edc09ef5432da8816d26fd94295575,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,2514,2
