crashUnitID,crashID,vehicleID,damageID,crashDate,unitNumber,unitType,numPassengers,vehicleMake,vehicleModel,licencePlateState,vehicleYear,vehicleDefect,vehicleType,vehicleUse,travelDirection,maneuver,occupantCount
1618649,a9b1bb650ccd7d5b17fcd438d723c63b990cf3173781b3f4b3b6f2652cb4c76e9d41f59ace82eaddb38b68710d4574183b55044cf1d1441c5720e1a101fd12e3,1540277,546,07/04/2023 08:30:00 PM,1,DRIVER,,CHEVROLET,MALIBU,IL,2008,UNKNOWN,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,1
1618650,a9b1bb650ccd7d5b17fcd438d723c63b990cf3173781b3f4b3b6f2652cb4c76e9d41f59ace82eaddb38b68710d4574183b55044cf1d1441c5720e1a101fd12e3,1540278,546,07/04/2023 08:30:00 PM,2,DRIVER,1,TOYOTA,VENZA,IL,2014,NONE,VAN/MINI-VAN,PERSONAL,S,STRAIGHT AHEAD,2
1618651,a9b1bb650ccd7d5b17fcd438d723c63b990cf3173781b3f4b3b6f2652cb4c76e9d41f59ace82eaddb38b68710d4574183b55044cf1d1441c5720e1a101fd12e3,1540279,546,07/04/2023 08:30:00 PM,3,DRIVER,,NISSAN,VERSA,IL,2019,NONE,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,1
1618652,a9b1bb650ccd7d5b17fcd438d723c63b990cf3173781b3f4b3b6f2652cb4c76e9d41f59ace82eaddb38b68710d4574183b55044cf1d1441c5720e1a101fd12e3,1540281,546,07/04/2023 08:30:00 PM,4,DRIVER,,CHEVROLET,IMPALA,IL,2018,NONE,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,1
1618946,96e06710735bd064febf10af935c8070bf6a329860ac929a96b5b5425271461d65f4ff4cc4c060d87d10a0d30174e5a358a0cdb26f59d62068bf5eb1a4933e24,1540569,847,07/16/2023 01:58:00 AM,1,DRIVER,,KIA,OPTIMA / K5,IL,2020,UNKNOWN,PASSENGER,PERSONAL,E,DRIVING WRONG WAY,1
1618947,96e06710735bd064febf10af935c8070bf6a329860ac929a96b5b5425271461d65f4ff4cc4c060d87d10a0d30174e5a358a0cdb26f59d62068bf5eb1a4933e24,1540593,847,07/16/2023 01:58:00 AM,2,DRIVER,2,JEEP,GRAND CHEROKEE,IL,2018,UNKNOWN,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,3
1619430,7d0aee4c09d483d087f94244556bb9b70e12c879a30f9dedc00cb137eb0b23fd3e9273e10ff35134ad09c4734a2abe342f8c6c7a6eae2522e22ce339e60157b8,1541026,628,07/16/2023 04:28:00 AM,1,DRIVER,,HYUNDAI,TUCSON,IL,2022,UNKNOWN,PASSENGER,PERSONAL,N,AVOIDING VEHICLES/OBJECTS,1
1619431,7d0aee4c09d483d087f94244556bb9b70e12c879a30f9dedc00cb137eb0b23fd3e9273e10ff35134ad09c4734a2abe342f8c6c7a6eae2522e22ce339e60157b8,1541030,628,07/16/2023 04:28:00 AM,2,PARKED,,HONDA,CR-V,IL,2021,UNKNOWN,PASSENGER,NOT IN USE,N,PARKED,0
1619432,7d0aee4c09d483d087f94244556bb9b70e12c879a30f9dedc00cb137eb0b23fd3e9273e10ff35134ad09c4734a2abe342f8c6c7a6eae2522e22ce339e60157b8,1541035,628,07/16/2023 04:28:00 AM,3,PARKED,,JEEP,JEEP,IL,2010,UNKNOWN,PASSENGER,NOT IN USE,N,PARKED,0
1619978,f828cd29c2414ffd8be7a5962d9408801669659d39a5b494364e2af3ffadd0717372fc8c9cd77ff86c045e8eede7b94a338574f1354569a552939ec71a9a383b,1541548,591,07/10/2023 04:06:00 PM,1,DRIVER,4,MAZDA,MAZDA3,IL,2010,NONE,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,5
